0xf5,%_S_TESTUNIT,int,d1,0x24,,d4,int,target,,,,,,,,,,,,,SCSI 装置が動作可能であるか調べる
0xf5,%_S_READCAP,int,d1,0x25,,d4,int,target,a1,struct iocs_readcap *,buf,,,,,,,,,,SCSI 装置の容量に関する情報を調べる
0xf5,%_S_READEXT,int,d1,0x26,,d2,int,lba,d3,int,block_count,d4,int,target,d5,int,block_size_code,a1,void *,buf,拡張 READ コマンド
0xf5,%_S_WRITEEXT,int,d1,0x27,,d2,int,lba,d3,int,block_count,d4,int,target,d5,int,block_size_code,a1,const void *,data,拡張 WRITE コマンド
0xf5,%_S_VERIFYEXT,int,d1,0x28,,d2,int,lba,d3,int,block_count,d4,int,target,d5,int,block_size_code,a1,const void *,data,拡張 VERIFY コマンド
0xf5,%_S_MODESENSE,int,d1,0x29,,d2,int,page_code,d3,int,read_size,d4,int,target,a1,void *,buf,,,,MODE SENSE データの要求
0xf5,%_S_MODESELECT,int,d1,0x2a,,d2,int,cdb_byte2,d3,int,unknown,d4,int,target,,,,,,,MODE SELECT コマンド
0xf5,%_S_REZEROUNIT,int,d1,0x2b,,d4,int,target,,,,,,,,,,,,,SCSI 装置を指定の状態にセット
0xf5,%_S_REQUEST,int,d1,0x2c,,d3,int,read_size,d4,int,target,a1,void *,buf,,,,,,,SCSI 装置のセンスデータを調べる
0xf5,%_S_SEEK,int,d1,0x2d,,d2,int,lba,d4,int,target,,,,,,,,,,SCSI 装置の論理ブロックアドレスへシークする
0xf5,%_S_READI,int,d1,0x2e,,d2,int,lba,d3,int,block_count,d4,int,target,d5,int,block_size_code,a1,void *,buf,SCSI 装置よりデータの読み込み
0xf5,%_S_STARTSTOP,int,d1,0x2f,,d3,int,start_mode,d4,int,target,,,,,,,,,,SCSI 装置に対して以降の操作を可能・不可能にすることを要求
0xf5,%_S_EJECT6MO1,int,d1,0x30,,d3,int,unknown,d4,int,target,,,,,,,,,,CZ-6MO1 に挿入されているメディアを排出
0xf5,%_S_REASSIGN,int,d1,0x31,,d3,int,write_size,d4,int,target,a1,const void *,data,,,,,,,欠陥ブロックの再割り当て
0xf5,%_S_PAMEDIUM,int,d1,0x32,,d3,int,eject_mode,d4,int,target,,,,,,,,,,メディアのイジェクトの禁止・許可を設定
,,,,,,,,,,,,,,,,,,,,,
0xad,#_B_CURMOD,void,d1,int,mode,,,,,,,,,,,,,,,,カーソル点滅許可・禁止
0xad,#_B_CURPAT,void,d1,2,,d2,int,parttern,,,,,,,,,,,,,カーソルパターン指定
0xad,#_B_CURPAT1,void,d1,2,,d2,0,,,,,,,,,,,,,,カーソルパターン指定(定義済みパターン)
0xad,#_B_CURDEF,void,d1,3,,d2,void *,patbuf,,,,,,,,,,,,,カーソルパターン定義
0xad,#_B_SCROLL,void,d1,int,mode,,,,,,,,,,,,,,,,スムース/ラスタコピー/ソフトコピースクロールの指定
,,,,,,,,,,,,,,,,,,,,,
0xac,#_MPU_STAT,int,d1,0,,,,,,,,,,,,,,,,,MPU 状態の取得
0xac,#_CACHE_ST,int,d1,1,,,,,,,,,,,,,,,,,キャッシュ状態の取得
0xac,#_CACHE_MD,int,d1,2,,d2,int,mode,,,,,,,,,,,,,キャッシュの設定・消去
,,,,,,,,,,,,,,,,,,,,,
0xf1,%_E_SET232C,int,d2hb,int,auxno,d2b,0x30,,d1,int,config,,,,,,,,,,RS-232C パラメータ設定
0xf1,%_E_LOF232C,int,d2hb,int,auxno,d2b,0x31,,,,,,,,,,,,,,RS-232C 受信バッファのデータ数を求める
0xf1,%_E_INP232C,int,d2hb,int,auxno,d2b,0x32,,,,,,,,,,,,,,RS-232C 受信データを得る
0xf1,%_E_ISNS232C,int,d2hb,int,auxno,d2b,0x33,,,,,,,,,,,,,,RS-232C 受信データの検査
0xf1,%_E_OSNS232C,int,d2hb,int,auxno,d2b,0x34,,,,,,,,,,,,,,RS-232C データが送信可能か検査する
0xf1,%_E_OUT232C,void,d2hb,int,auxno,d2b,0x35,,d1,int,data,,,,,,,,,,RS-232C データ送信
0xf1,%_E_BUF232C,int,d2hb,int,auxno,d2b,0x36,,d1,int,size,a1,void *,buf,,,,,,,RS-232C 受信バッファを設定する
0xf1,%_E_VER232C,int,d2,0x37,,,,,,,,,,,,,,,,,RSDRV.SYS のバージョンを取得する
0xf1,%_E_PINP232C,int,d2hb,int,auxno,d2b,0x38,,,,,,,,,,,,,,RS-232C ポートの状態取得
0xf1,%_E_PSET232C,int,d2hb,int,auxno,d2b,0x39,,d1,int,data,,,,,,,,,,RS-232C ポートの状態設定
