0x2e,_B_CONSOL,int=d2,d1h,int,x1,d1l,int,y1,d2h,int,x2,d2l,int,y2,,,,,,,表示範囲設定
0x2f,_B_PUTMES,int=d2,d1,int,attr,d2,int,col,d3,int,row,d4,int,width,a1,const char *,str,,,,座標指定文字列表示
0x30,_SET232C,int,d1,int,config,,,,,,,,,,,,,,,,RS-232C パラメータ設定
0x31,_LOF232C,int,,,,,,,,,,,,,,,,,,,RS-232C 受信バッファのデータ数を求める
0x32,_INP232C,int,,,,,,,,,,,,,,,,,,,RS-232C 受信データを得る
0x33,_ISNS232C,int,,,,,,,,,,,,,,,,,,,RS-232C 受信データの検査
0x34,_OSNS232C,int,,,,,,,,,,,,,,,,,,,RS-232C データが送信可能か検査する
0x35,_OUT232C,void,d1,int,data,,,,,,,,,,,,,,,,RS-232C データ送信
#0x36,_MS_VCS,int,d1,int,handler,d2,int,counter,,,,,,,,,,,,,マウスデータ受信時の処理アドレス設定
#0x37,_EXESC,int,d1,int,handler,,,,,,,,,,,,,,,,ESC[> 系エスケープシーケンスの拡張処理アドレス設定
0x38,_SETFNTADR,int,d1,int,addr,d2,int,group,,,,,,,,,,,,,外字フォントアドレス設定
#0x39,_SETBEEP,int,d1,int,addr,d2,int,size,,,,,,,,,,,,,BEEP 音用 ADPCM のデータ設定
#0x3a,_SETPRN,int,a1,const void *,params,,,,,,,,,,,,,,,,プリンターパラメータ設定
0x3b,_JOYGET,int,d1,int,joy_num,,,,,,,,,,,,,,,,ジョイスティック入力
0x3c,_INIT_PRN,int,d1hb,int,lines,d1b,int,cols,,,,,,,,,,,,,プリンター初期化
0x3d,_SNSPRN,int,,,,,,,,,,,,,,,,,,,プリンターに出力可能か検査する
0x3e,_OUTLPT,void,d1,int,data,,,,,,,,,,,,,,,,プリンター直接出力
0x3f,_OUTPRN,void,d1,int,data,,,,,,,,,,,,,,,,プリンター出力
0x40,_B_SEEK,int,d1,int,pda_mode,d2,int,position,,,,,,,,,,,,,ディスクのシーク
0x41,_B_VERIFY,int,d1,int,pda_mode,d2,int,pos,d3,int,size,a1,const void *,data,,,,,,,ディスクのベリファイ
0x42,_B_READDI,int,d1,int,pda_mode,d2,int,pos,d3,int,size,a1,void *,buf,,,,,,,ディスクの診断の為の読み出し
0x43,_B_DSKINI,int,d1,int,pda,a1,const void *,specify,d2,int,motor_off,,,,,,,,,,ドライブの初期化
0x44,_B_DRVSNS,int,d1,int,pda,,,,,,,,,,,,,,,,ドライブの状態検査
0x45,_B_WRITE,int,d1,int,pda_mode,d2,int,pos,d3,int,size,a1,const void *,data,,,,,,,ディスクへの書き込み
