0xff1d,_FPUTC,void,w,int,code,w,int,fileno,,,,,,,,,,,,,,,,,,,ファイル 1 文字出力
0xff1e,_FPUTS,void,l,const char *,mesptr,w,int,fileno,,,,,,,,,,,,,,,,,,,ファイル文字列出力
0xff1f,_ALLCLOSE,void,,,,,,,,,,,,,,,,,,,,,,,,,全ファイルクローズ
0xff20,_SUPER,int,l,int,stack,,,,,,,,,,,,,,,,,,,,,,スーパーバイザ/ユーザーモード設定
0xff21,_FNCKEY,,,,,,,,,,,,,,,,,,,,,,,,,,再定義可能キー収得/設定
0xff21,#_FNCKEYGT,void,w,int,mode,l,char *,buffer,,,,,,,,,,,,,,,,,,,再定義可能なキーの読み出し
0xff21,#_FNCKEYST,void,w|0x0100,int,mode,l,const char *,buffer,,,,,,,,,,,,,,,,,,,再定義可能なキーの設定
0xff22,_KNJCTRL,,,,,,,,,,,,,,,,,,,,,,,,,,仮名漢字変換用ファンクションコール
0xff23,_CONCTRL,,,,,,,,,,,,,,,,,,,,,,,,,,コンソール制御/直接出力
0xff23,#_C_PUTC,int,c,0,,w,int,code,,,,,,,,,,,,,,,,,,,文字表示
0xff23,#_C_PRINT,int,c,1,,l,const char *,mesptr,,,,,,,,,,,,,,,,,,,文字列表示
0xff23,#_C_COLOR,int,c,2,,w,int,atr,,,,,,,,,,,,,,,,,,,表示色設定
0xff23,#_C_LOCATE,int,c,3,,w,int,x,w,int,y,,,,,,,,,,,,,,,,カーソル移動
0xff23,#_C_DOWN_S,int,c,4,,,,,,,,,,,,,,,,,,,,,,,カーソルを1行下に移動
0xff23,#_C_UP_S,int,c,5,,,,,,,,,,,,,,,,,,,,,,,カーソルを1行上に移動
0xff23,#_C_UP,int,c,6,,w,int,n,,,,,,,,,,,,,,,,,,,カーソルを指定行数だけ上に移動
0xff23,#_C_DOWN,int,c,7,,w,int,n,,,,,,,,,,,,,,,,,,,カーソルを指定行数だけ下に移動
0xff23,#_C_RIGHT,int,c,8,,w,int,n,,,,,,,,,,,,,,,,,,,カーソルを指定行数だけ右に移動
0xff23,#_C_LEFT,int,c,9,,w,int,n,,,,,,,,,,,,,,,,,,,カーソルを指定行数だけ左に移動
0xff23,#_C_CLS_ED,int,c,10,,c,0,,,,,,,,,,,,,,,,,,,,画面の複数行消去(カーソル位置から最終行右端まで)
0xff23,#_C_CLS_ST,int,c,10,,c,1,,,,,,,,,,,,,,,,,,,,画面の複数行消去(先頭行左端からカーソル位置まで)
0xff23,#_C_CLS_AL,int,c,10,,c,2,,,,,,,,,,,,,,,,,,,,画面の複数行消去(画面全体)
0xff23,#_C_ERA_ED,int,c,11,,c,0,,,,,,,,,,,,,,,,,,,,現在行の複数桁消去(カーソル位置から右端まで)
0xff23,#_C_ERA_ST,int,c,11,,c,1,,,,,,,,,,,,,,,,,,,,現在行の複数桁消去(左端からカーソル位置まで)
0xff23,#_C_ERA_AL,int,c,11,,c,2,,,,,,,,,,,,,,,,,,,,現在行の複数桁消去(カーソル行全体)
0xff23,#_C_INS,int,c,12,,w,int,n,,,,,,,,,,,,,,,,,,,複数行挿入
0xff23,#_C_DEL,int,c,13,,w,int,n,,,,,,,,,,,,,,,,,,,複数行削除
0xff23,#_C_FNKMOD,int,c,14,,w,int,mod,,,,,,,,,,,,,,,,,,,ファンクションキー行の表示モードを設定
0xff23,#_C_WINDOW,int,c,15,,w,int,ys,w,int,yl,,,,,,,,,,,,,,,,スクロール範囲の設定
0xff23,#_C_WIDTH,int,c,16,,w,int,mod,,,,,,,,,,,,,,,,,,,画面モードの設定
0xff23,#_C_CURON,int,c,17,,,,,,,,,,,,,,,,,,,,,,,カーソル点滅開始
0xff23,#_C_CUROFF,int,c,18,,,,,,,,,,,,,,,,,,,,,,,カーソル点滅終了
0xff24,_KEYCTRL,,,,,,,,,,,,,,,,,,,,,,,,,,コンソール状態検査/直接入力
0xff24,#_K_KEYINP,int,c,0,,,,,,,,,,,,,,,,,,,,,,,キーを入力する
0xff24,#_K_KEYSNS,int,c,1,,,,,,,,,,,,,,,,,,,,,,,キーコードを先読みする
0xff24,#_K_SFTSNS,int,c,2,,,,,,,,,,,,,,,,,,,,,,,シフトキーの状態を調べる
0xff24,#_K_KEYBIT,int,c,3,,w,int,group,,,,,,,,,,,,,,,,,,,キーコードグループのキー状態を調べる
0xff24,#_K_INSMOD,void,c,4,,w,int,insmode,,,,,,,,,,,,,,,,,,,INSキーをON/OFFする
0xff25,_INTVCS,void *,w,int,intno,l,void *,jobadr,,,,,,,,,,,,,,,,,,,ベクタ処理アドレス設定
0xff26,_PSPSET,void,l,struct dos_psp *,pspadr,,,,,,,,,,,,,,,,,,,,,,プロセス管理ポインタ作成
0xff27,_GETTIM2,int,,,,,,,,,,,,,,,,,,,,,,,,,時刻収得(ロングワード)
0xff28,_SETTIM2,int,l,int,time,,,,,,,,,,,,,,,,,,,,,,時刻設定(ロングワード)
0xff29,_NAMESTS,int,l,const char *,file,l,struct dos_namestbuf *,buffer,,,,,,,,,,,,,,,,,,,ファイル名展開
0xff2a,_GETDATE,int,,,,,,,,,,,,,,,,,,,,,,,,,日付収得
0xff2b,_SETDATE,int,w,int,date,,,,,,,,,,,,,,,,,,,,,,日付設定
0xff2c,_GETTIME,int,,,,,,,,,,,,,,,,,,,,,,,,,時刻収得
0xff2d,_SETTIME,int,w,int,time,,,,,,,,,,,,,,,,,,,,,,時刻設定
0xff2e,_VERIFY,void,w,int,flg,,,,,,,,,,,,,,,,,,,,,,ベリファイフラグ設定
0xff2f,_DUP0,int,w,int,fileno,w,int,newno,,,,,,,,,,,,,,,,,,,ファイルハンドルの標準ファイルハンドルへの強制複写
0xff30,_VERNUM,%int,,,,,,,,,,,,,,,,,,,,,,,,,OS バージョン収得
0xff31,_KEEPPR,!void,l,int,prglen,w,int,code,,,,,,,,,,,,,,,,,,,常駐終了
0xff32,_GETDPB,int,w,int,drive,l,struct dos_dpbptr *,dpbptr,,,,,,,,,,,,,,,,,,,ドライブパラメータブロック複写
0xff33,_BREAKCK,int,w,int,flg,,,,,,,,,,,,,,,,,,,,,,ブレークチェック設定
0xff34,_DRVXCHG,void,w,int,olddrv,w,int,newdrv,,,,,,,,,,,,,,,,,,,ドライブ交換
0xff35,_INTVCG,void *,w,int,intno,,,,,,,,,,,,,,,,,,,,,,ベクタ処理アドレス収得
0xff36,_DSKFRE,int,w,int,drive,l,struct dos_freeinf *,buffer,,,,,,,,,,,,,,,,,,,ディスク残量収得
